entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 12h,0.45,0.5,7,241,0.07678872236532927,0.1288235937543684,0.6390041493775933,1.3403284875395813,-1.0,161,0.01054258349837169,0.030580667899904247,0.5341614906832298,1.0903255885593155,-0.9257081601339957
drop 15% (after 1h),0.45,0.5,7,217,0.0705451569958795,0.19494378348420452,0.5944700460829493,1.2497939530759599,-1.0,69,0.033924446225300636,0.04175527953338383,0.6231884057971014,1.2205907471252084,-0.939813817030585
drop 10% (after 1h),0.45,0.5,7,227,0.06318119970057033,0.19494378348420452,0.5814977973568282,1.2236994033771946,-1.0,104,0.0010097033155272003,0.04378165708808097,0.5769230769230769,1.0062284478193522,-0.9376023532642683
drop 20% (after 1h),0.15,0.5,7,211,0.062242042989842955,-0.3037018363518758,0.3696682464454976,1.324978902816604,-0.45716105585862477,49,0.0018707865267935542,-0.10429353053221302,0.42857142857142855,1.0124596645837716,-0.3383132170305853
delay 12h,,0.5,7,241,0.059936076493371425,0.1288235937543684,0.6390041493775933,1.2471755519167793,-1.0,161,0.010568271405210406,0.030580667899904247,0.5341614906832298,1.0905656068096174,-1.0
drop 30% (after 1h),0.3,0.3,7,188,0.059610011860632445,0.21419374699405314,0.5904255319148937,1.2636337618305182,-0.781623388907563,24,-0.01773881127287536,0.031300936243184106,0.5416666666666666,0.9248160675803906,-0.6360648776383081
drop 30% (after 1h),0.3,0.5,7,188,0.05826692575464565,0.08200659822545021,0.5319148936170213,1.2246977590107941,-0.781623388907563,24,-0.04816374349643902,0.031300936243184106,0.5416666666666666,0.7958634555378123,-0.6360648776383081
drop 15% (after 1h),0.45,0.3,7,217,0.05717862365350774,0.3300606895211969,0.6359447004608295,1.2280289772527901,-0.962001204358118,69,0.021442820029336725,0.04175527953338383,0.6231884057971014,1.1394300634807446,-0.939813817030585
drop 20% (after 1h),0.2,0.5,7,211,0.05681517796354307,-0.3958318353172952,0.44549763033175355,1.258387787038294,-0.5598472659296967,49,-0.01027879210735972,-0.03758207165287644,0.4489795918367347,0.9400107612288544,-0.4385633170305853
drop 20% (after 1h),0.45,0.5,7,211,0.05559585376713089,0.18628416383710084,0.5924170616113744,1.1927693628721354,-1.0,49,-0.05730699287127204,0.03299572317276064,0.5102040816326531,0.7652826437960585,-0.939813817030585
drop 15% (after 1h),,0.5,7,217,0.05542596862097848,0.21447664949571826,0.5990783410138248,1.1851486081607763,-1.0,69,0.026686653186651803,0.04175527953338383,0.6231884057971014,1.1657279562046174,-1.0
delay 12h,0.45,0.3,7,241,0.054335324142189466,0.15964796891699112,0.6514522821576764,1.2491561335921368,-1.0,161,0.0019117680745750986,0.030580667899904247,0.5341614906832298,1.0163794364589642,-0.9257081601339957
drop 30% (after 1h),0.3,0.3,3,188,0.05380160158551084,0.15503829664466817,0.5957446808510638,1.2757053727605916,-0.7779488886106537,24,-0.04905536242958589,0.01320870137871246,0.5,0.7961772693587879,-0.6360648776383081
drop 20% (after 1h),0.3,0.5,7,211,0.053657264700663426,0.06946268611182413,0.5260663507109005,1.2035761939580991,-0.7649693332404918,49,-0.03002125984364801,-0.003969042524607336,0.4897959183673469,0.8536932038165713,-0.6390635170305858
delay 12h,0.45,,7,241,0.05315731613063836,0.10900767541256332,0.6265560165975104,1.2262749116233713,-1.0,161,0.007314731067573117,0.030580667899904247,0.5341614906832298,1.062670349154332,-0.9257081601339957
delay 12h,0.3,0.5,7,241,0.051330855707152866,0.06390890645197894,0.5767634854771784,1.2365940663924546,-0.7671373592123355,161,0.008562640618522604,0.026738137426716622,0.5217391304347826,1.0739197598059365,-0.6424700803143646
drop 30% (after 4h),0.3,0.3,7,188,0.04926489932026431,0.18942894107313407,0.574468085106383,1.214047413729811,-0.781623388907563,24,-0.017739711574319066,0.031300936243184106,0.5416666666666666,0.9248125386574093,-0.6360648776383081
drop 30% (after 1h),0.45,0.3,1,188,0.04897392658451091,0.13659102540077753,0.6117021276595744,1.3199939019899294,-0.9307647315626276,24,-0.07894771290021071,-0.08156599241581233,0.375,0.5730735623772194,-0.936815177638308
drop 30% (after 4h),0.45,0.3,1,188,0.04886364288917017,0.11708198369895895,0.601063829787234,1.3351440881533614,-0.9307647315626276,24,-0.07851174975069691,-0.08156599241581233,0.375,0.574427812042027,-0.936815177638308
delay 12h,0.45,0.2,7,241,0.048853088659529254,0.37688595106185085,0.7136929460580913,1.2634201573461317,-1.0,161,-0.004144048611232228,0.03276121600764669,0.5403726708074534,0.9642028879495572,-0.9257081601339957
delay 8h,0.3,0.5,7,241,0.04813467921141948,0.05716984073654386,0.5560165975103735,1.2099809137496131,-0.7716004288368735,161,-0.005431983903089604,0.004704735710843305,0.5093167701863354,0.9553368623521059,-0.6444032328133112
drop 15% (after 1h),0.45,,7,217,0.04772096175434996,0.18628416383710084,0.5852534562211982,1.1639462381817547,-1.0,69,0.03456001413165429,0.04175527953338383,0.6231884057971014,1.2247234718977884,-0.939813817030585
delay 8h,0.3,0.3,7,241,0.046806595672300264,0.08540451776419583,0.5850622406639004,1.2209999833498018,-0.7716004288368735,161,-0.010769299187420958,0.004704735710843305,0.5093167701863354,0.9114521138942332,-0.6444032328133112
drop 10% (after 4h),0.1,0.3,7,227,0.04620466979320204,-0.2056712633229061,0.3568281938325991,1.351830747358935,-0.40023981306166,104,0.012005362139031474,-0.06616226901000591,0.4423076923076923,1.1219874119172617,-0.23521893246794912
delay 8h,,0.3,7,241,0.04574279952600078,0.20252222688931915,0.6514522821576764,1.190493960200183,-1.0,161,-0.013148477679889225,0.005124612272174849,0.5217391304347826,0.8970944176780273,-1.0
drop 20% (after 4h),0.2,0.5,7,211,0.04557318216349632,-0.38245966255782265,0.4549763033175355,1.2126803730891158,-0.5598472659296967,49,0.010433864077552424,-0.030826094212769935,0.46938775510204084,1.0640021075377937,-0.4382137930938384
drop 10% (after 4h),0.1,0.5,7,227,0.045311757093626455,-0.20570249762458837,0.31718061674008813,1.3238093393803971,-0.40023981306166,104,0.019705088615046246,-0.06616226901000591,0.4423076923076923,1.2002249273209942,-0.23521893246794912
drop 15% (after 1h),0.15,0.5,7,217,0.04530672307842025,-0.30419490211566735,0.3640552995391705,1.2321567253622416,-0.4524707561850442,69,0.05238672409473764,0.019407219242851388,0.5652173913043478,1.493483446110925,-0.3383132170305853
drop 10% (after 4h),0.3,0.3,7,227,0.045257415234726366,0.18306124981293226,0.5682819383259912,1.1982013047163589,-0.7816917435956793,104,-0.0009836821596879957,0.045827736374682855,0.5673076923076923,0.9935289726321542,-0.6362193324679486
delay 24h,0.1,0.5,7,241,0.045059048402221094,-0.2044666385026738,0.35684647302904565,1.3402832169604928,-0.37877826658820757,161,0.007397433446111042,-0.0193283126562464,0.45962732919254656,1.0873868476657071,-0.2304127879620578
drop 15% (after 1h),,0.3,7,217,0.044897774837230384,0.3357657505619149,0.6405529953917051,1.1695156339625596,-1.0,69,0.01420502699068789,0.04175527953338383,0.6231884057971014,1.0882152615591245,-1.0
delay 12h,0.45,0.1,7,241,0.04459816205689571,0.19809999999999992,0.8174273858921162,1.410529028357934,-0.9444615058483754,161,0.02799371641801639,0.1036515293684855,0.6273291925465838,1.3728711406559095,-0.9178976711390773
drop 30% (after 1h),0.3,0.3,1,188,0.04457669748884972,0.11162112585783612,0.574468085106383,1.2944632719204097,-0.722997045416352,24,-0.08335590717493561,-0.08156599241581233,0.375,0.5597305696554702,-0.6360648776383081
drop 10% (after 1h),0.45,0.3,7,227,0.04451268129958771,0.3052808033789843,0.6255506607929515,1.1733872605624642,-0.9757494328674431,104,-0.016397733218705916,0.04378165708808097,0.5769230769230769,0.8988490736459164,-0.9376023532642683
